Ticker,Date,Action,Shares_Sold,Sale_Price,Sale_Value,Fee,Allocated_Cost_Basis,Realized_PnL
BLS.NS,2022-07-01,TRIM,2946,95.96028137207033,282698.9889221192,282.6989889221192,267183.9750413819,15232.314891815186
JBMA.NS,2022-07-01,TRIM,986,216.5813140869141,213549.1756896973,213.5491756896973,229546.81317819664,-16211.186664189037
CGPOWER.NS,2022-07-01,TRIM,1566,188.1347503662109,294619.01907348627,294.6190190734863,141427.78611744236,152896.61393697042
KPITTECH.NS,2022-07-01,TRIM,41,485.2008361816406,19893.234283447266,19.893234283447267,24317.75161775181,-4444.410568587991
TATAELXSI.NS,2022-07-01,TRIM,15,7781.4013671875,116721.0205078125,116.7210205078125,109403.8648828125,7200.434604492184
BSE.NS,2022-08-01,SELL,10511,221.5655517578125,2328875.514526367,2328.875514526367,2051083.9298534547,275462.7091583861
ADANIPOWER.NS,2022-08-01,TRIM,1732,64.37000274658203,111488.84475708008,111.48884475708007,104133.84613978026,7243.509772542733
ATGL.NS,2022-08-01,TRIM,116,3213.242431640625,372736.1220703125,372.7361220703125,276995.2282753906,95368.15767285164
BLS.NS,2022-08-01,TRIM,1227,117.9537353515625,144729.2332763672,144.72923327636718,111281.30936041263,33303.19468267819
CGPOWER.NS,2022-08-01,TRIM,702,222.01776123046875,155856.46838378906,155.85646838378906,63398.66274230174,92301.94917310355
GMDCLTD.NS,2022-08-01,TRIM,1703,151.88462829589844,258659.52198791504,258.65952198791507,257550.78688607202,850.0755798550963
JBMA.NS,2022-09-01,SELL,10972,204.37359619140625,2242387.0974121094,2242.3870974121096,2524246.455174896,-284101.7448601988
KPITTECH.NS,2022-09-01,SELL,5070,555.9599609375,2818717.001953125,2818.717001953125,2990587.5806025984,-174689.29565142654
ADANIPOWER.NS,2022-09-01,TRIM,3345,81.69999694824219,273286.4897918701,273.2864897918701,201112.99961753172,71900.20368454652
ADANIENSOL.NS,2022-09-01,TRIM,22,3880.449951171875,85369.89892578125,85.36989892578126,71830.2585,13454.270526855471
CGPOWER.NS,2022-10-03,SELL,17081,226.80882263183597,3874121.49937439,3874.12149937439,1874819.8462943954,1995427.5315806202
TATAELXSI.NS,2022-10-03,SELL,407,7934.55615234375,3229364.3540039062,3229.364354003906,3038087.1702822265,188047.81936767604
ADANIPOWER.NS,2022-10-03,TRIM,95,70.97000122070312,6742.150115966797,6.742150115966797,5711.729436073398,1023.6785297774322
BDL.NS,2022-10-03,TRIM,1650,427.7121887207031,705725.1113891602,705.7251113891601,669366.495954895,35652.89032287593
PGEL.NS,2022-10-03,TRIM,6954,100.05825805664062,695805.1265258789,695.8051265258789,618180.6397368164,76928.68166253658
BLS.NS,2022-10-03,TRIM,4770,137.87191772460938,657649.0475463867,657.6490475463868,456666.7274032202,200324.67109562008
BLS.NS,2022-11-01,TRIM,1507,163.650634765625,246621.50659179688,246.62150659179687,144276.0499364052,102098.83514879987
ADANIENT.NS,2022-11-01,TRIM,13,3569.205810546875,46399.675537109375,46.399675537109374,41011.32729052734,5341.948571044923
ATGL.NS,2022-11-01,TRIM,98,3676.157470703125,360263.43212890625,360.26343212890623,238734.4242899018,121168.74440687557
BDL.NS,2022-11-01,TRIM,133,472.8565368652344,62889.91940307617,62.88991940307617,53954.99634060669,8872.033143066408
ADANIENSOL.NS,2022-11-01,TRIM,3,3342.449951171875,10027.349853515625,10.027349853515625,9764.04079092465,253.2817127374601
ADANIENSOL.NS,2022-12-01,SELL,947,2834.25,2684034.75,2684.0347500000003,3082182.209668548,-400831.49441854795
PGEL.NS,2022-12-01,SELL,26213,97.86493682861328,2565333.58908844,2565.33358908844,2380144.1581840897,182624.0973152616
BLS.NS,2022-12-01,TRIM,2223,184.75570678710935,410711.9361877441,410.7119361877441,212823.92767659508,197477.29657496125
BDL.NS,2022-12-01,TRIM,70,470.9765625,32968.359375,32.968359375,28397.366495056154,4538.024520568844
ATGL.NS,2022-12-01,TRIM,7,3607.4521484375,25252.1650390625,25.2521650390625,17052.458877850127,8174.45399617331
GMDCLTD.NS,2022-12-01,TRIM,2396,144.24884033203125,345620.2214355469,345.6202214355469,358143.111398491,-12868.510184379702
ADANIENT.NS,2022-12-01,TRIM,137,3907.98974609375,535394.5952148438,535.3945952148438,432196.29529248044,102662.90532714844
GMDCLTD.NS,2023-01-02,SELL,15312,141.220703125,2162371.40625,2162.37140625,2288767.663494864,-128558.62865111418
ATGL.NS,2023-01-02,SELL,788,3545.73681640625,2794040.611328125,2794.040611328125,1919619.6565351288,871626.9141816681
BLS.NS,2023-01-02,TRIM,894,169.57875061035156,151603.4030456543,151.6034030456543,85589.10991582368,65862.68972678497
MAZDOCK.NS,2023-01-02,TRIM,172,382.8946228027344,65857.87512207031,65.85787512207031,76274.63398242187,-10482.616735473639
ADANIPOWER.NS,2023-01-02,TRIM,643,59.630001068115234,38342.090686798096,38.342090686798095,39403.2837372115,-1099.5351411002048
BDL.NS,2023-01-02,TRIM,619,461.4056396484375,285610.0909423828,285.61009094238284,251113.85514913942,34210.62570230104
ADANIENT.NS,2023-01-02,TRIM,83,3834.2236328125,318240.5615234375,318.2405615234375,261841.55116259764,56080.76979931645
HSCL.NS,2023-01-02,TRIM,3073,99.64999389648438,306224.4312438965,306.2244312438965,307906.61819947814,-1988.4113868255517
ADANIPOWER.NS,2023-02-01,SELL,36257,42.52999877929688,1542010.165740967,1542.010165740967,2221842.703670416,-681374.54809519
DEEPAKFERT.NS,2023-02-01,SELL,3667,606.27685546875,2223217.2290039062,2223.217229003906,3068707.2273401488,-847713.2155652465
HSCL.NS,2023-02-01,SELL,23623,89.01404571533203,2102778.8019332886,2102.778801933289,2366963.241694199,-266287.21856284374
MAZDOCK.NS,2023-02-01,TRIM,85,361.85882568359375,30758.00018310547,30.75800018310547,37693.85981689453,-6966.617633972168
BLS.NS,2023-02-01,TRIM,1407,178.13885498046875,250641.36895751953,250.64136895751955,134702.32399503794,115688.40359352407
RVNL.NS,2023-02-01,TRIM,6014,69.70767211914062,419221.9401245117,419.2219401245117,395958.71395341493,22844.004230972263
ADANIENT.NS,2023-03-01,SELL,1372,1561.4591064453125,2142321.8940429688,2142.321894042969,3853454.2232709955,-1713274.65112207
VBL.NS,2023-03-01,SELL,12687,266.1011657714844,3376025.4901428223,3376.0254901428225,2949275.9685549317,423373.4960977477
BDL.NS,2023-03-01,TRIM,35,476.3282470703125,16671.488647460938,16.671488647460937,14201.161920625393,2453.655238188083
GESHIP.NS,2023-04-03,SELL,6390,571.6437377929688,3652803.4844970703,3652.8034844970703,3703253.4502586666,-54102.76924609346
MAZDOCK.NS,2023-04-03,TRIM,288,319.2286682128906,91937.8564453125,91.9378564453125,125376.47700641854,-33530.55841755135
BLS.NS,2023-04-03,TRIM,2402,163.4661407470703,392645.6700744629,392.6456700744629,260315.49313527564,131937.5312691128
KARURVYSYA.NS,2023-04-03,TRIM,5481,79.59810638427734,436277.2210922241,436.2772210922241,454693.8053971449,-18852.861526013003
AEGISLOG.NS,2023-04-03,TRIM,881,362.7427368164063,319576.35113525396,319.57635113525396,311429.46081072994,7827.313973388751
RVNL.NS,2023-04-03,TRIM,18962,72.2983169555664,1370920.6861114502,1370.9206861114503,1200120.7699305154,169428.9954948232
BDL.NS,2023-04-03,TRIM,766,486.1373291015625,372381.1940917969,372.3811940917969,310802.57231997285,61206.24057773221
BDL.NS,2023-05-02,SELL,4690,488.700439453125,2292005.0610351562,2292.0050610351564,1902955.6973638027,386757.3586103185
MAZDOCK.NS,2023-05-02,TRIM,325,379.8582153320313,123453.91998291017,123.45391998291018,141483.8716218265,-18153.405558899234
RVNL.NS,2023-05-02,TRIM,13965,116.24492645263672,1623360.3979110718,1623.360397911072,883856.478856642,737880.5586565186
KALYANKJIL.NS,2023-06-01,SELL,24369,107.82322692871094,2627544.217025757,2627.544217025757,2558457.164584244,66459.50822448684
PGEL.NS,2023-06-01,SELL,19772,165.9727020263672,3281612.264465332,3281.612264465332,2692364.936491699,585965.7157091675
RVNL.NS,2023-06-01,TRIM,369,116.39230346679688,42948.75997924805,42.948759979248045,23354.31727161482,19551.49394765398
KARURVYSYA.NS,2023-06-01,TRIM,1652,85.97550964355469,142031.54193115234,142.03154193115233,136230.48881393805,5659.021575283143
VBL.NS,2023-06-01,TRIM,1281,334.666015625,428707.166015625,428.70716601562503,359162.3151982212,69116.14365138818
BLS.NS,2023-07-03,SELL,14183,209.0077209472656,2964356.506195068,2964.356506195068,1645293.9968153588,1316098.1528735142
AEGISLOG.NS,2023-07-03,SELL,8753,317.118896484375,2775741.7009277344,2775.7417009277347,3059052.7502324833,-286086.7910056766
MAZDOCK.NS,2023-07-03,TRIM,1815,626.2633666992188,1136668.010559082,1136.668010559082,788427.2892850027,347104.0532635201
VBL.NS,2023-08-01,SELL,12186,317.3085632324219,3866722.151550293,3866.722151550293,3525790.7487065326,337064.68069220986
IRCON.NS,2023-08-01,SELL,43103,93.97825622558594,4050744.7780914307,4050.744778091431,3413396.5065395506,633297.5267737885
MAZDOCK.NS,2023-08-01,TRIM,521,903.493408203125,470720.0656738281,470.7200656738281,226319.89956886307,243929.44603929124
KARURVYSYA.NS,2023-09-01,SELL,52687,98.63893127441406,5196989.372055054,5196.9893720550535,4644309.232528381,547483.1501546176
DATAPATTNS.NS,2023-09-01,SELL,2327,2452.053955078125,5705929.553466797,5705.929553466797,4052026.047527466,1648197.576385864
RVNL.NS,2023-09-01,TRIM,1513,135.89747619628906,205612.88148498535,205.61288148498537,125072.0346952484,80335.23390825196
JBMA.NS,2023-09-01,TRIM,373,748.4521484375,279172.6513671875,279.1726513671875,260773.9673112793,18119.511404541
NEULANDLAB.NS,2023-09-01,TRIM,24,3775.339599609375,90608.150390625,90.608150390625,69079.07590594035,21438.46633429402
MAZDOCK.NS,2023-10-03,TRIM,770,1066.3131103515625,821061.0949707031,821.0610949707032,359061.03775209165,461178.9961236408
RVNL.NS,2023-10-03,TRIM,8327,169.87319946289062,1414534.1319274902,1414.5341319274903,688350.8479228904,724768.7498726724
