Date,Ticker,Action,Shares,Price,Trade_Value,Fee
2021-09-01,HINDCOPPER.NS,BUY,2337,113.9977798461914,266412.8115005493,266.4128115005493
2021-09-01,TATAELXSI.NS,TRIM,76,4604.6005859375,349949.64453125,349.94964453125
2021-09-01,CGPOWER.NS,TRIM,1736,84.75695037841797,147138.0658569336,147.1380658569336
2021-10-01,ATGL.NS,BUY,162,1421.5169677734375,230285.74877929688,230.28574877929688
2021-10-01,ADANIENT.NS,BUY,242,1455.450927734375,352219.12451171875,352.21912451171875
2021-10-01,POONAWALLA.NS,BUY,1391,162.0260772705078,225378.27348327637,225.37827348327636
2021-10-01,ANANTRAJ.NS,TRIM,1435,75.81473541259766,108794.14531707764,108.79414531707764
2021-10-01,PGEL.NS,TRIM,2773,40.0992431640625,111195.20129394531,111.19520129394532
2021-10-01,TATAELXSI.NS,TRIM,35,5491.9013671875,192216.5478515625,192.2165478515625
2021-10-01,CGPOWER.NS,TRIM,4794,122.7395248413086,588413.2820892334,588.4132820892335
2021-10-01,GPIL.NS,TRIM,280,313.1081848144531,87670.29174804688,87.67029174804688
2021-10-01,HINDCOPPER.NS,BUY,1960,107.05823516845705,209834.1409301758,209.8341409301758
2021-11-01,HINDCOPPER.NS,SELL,13879,125.23426055908205,1738126.3022994997,1738.1263022994997
2021-11-01,ATGL.NS,BUY,25,1432.75048828125,35818.76220703125,35.81876220703125
2021-11-01,ADANIENT.NS,BUY,24,1442.080810546875,34609.939453125,34.609939453125
2021-11-01,POONAWALLA.NS,BUY,275,170.13479614257812,46787.068939208984,46.787068939208986
2021-11-01,CGPOWER.NS,TRIM,2557,147.1392364501953,376235.0276031494,376.23502760314943
2021-11-01,ANANTRAJ.NS,BUY,9255,63.63287353515625,588922.2445678711,588.9222445678711
2021-11-01,PGEL.NS,TRIM,10011,50.98089599609375,510369.74981689453,510.36974981689457
2021-11-01,GPIL.NS,TRIM,423,338.701416015625,143270.69897460938,143.2706989746094
2021-11-01,TATAELXSI.NS,BUY,1,5673.67333984375,5673.67333984375,5.67367333984375
2021-11-01,JSWENERGY.NS,BUY,6009,333.58843994140625,2004532.9356079102,2004.5329356079103
2021-11-01,ADANIENSOL.NS,BUY,1057,1760.550048828125,1860901.4016113281,1860.901401611328
2021-12-01,ANANTRAJ.NS,SELL,28806,64.12806701660156,1847273.0984802246,1847.2730984802247
2021-12-01,JSWENERGY.NS,BUY,794,294.01593017578125,233448.6485595703,233.44864855957033
2021-12-01,ADANIENSOL.NS,TRIM,2,1797.1500244140625,3594.300048828125,3.594300048828125
2021-12-01,ATGL.NS,TRIM,14,1623.7205810546875,22732.088134765625,22.732088134765625
2021-12-01,TATAELXSI.NS,BUY,15,5587.48876953125,83812.33154296875,83.81233154296875
